id, soTien ,check,17,,,,,,25
1,35000000,,10,7,,,9,10,15
2,1816530,,8,2,4,3,8,7,8
3,138075,,,,,,7,6,
4,76500000,,,,,,4,4,
5,1807800,,,,,,3,3,
6,32280000,,,,,,2,2,
7,48530300,,,,,,5,2,
8,34532000,,,,,,1,1,
9,998440,,,,,,,,
10,1205504,,,,,,,,
11,47255000,,,,,,,,
12,1800000,,,,,,,,
13,1800000,,,,,,,,
14,171569,,,,,,,,
15,1800000,,,,,,,,
16,1800000,,,,,,,,
17,13650000,,,,,,,,
18,1800000,,,,,,,,
19,50600,,,,,,,,
20,68196727,,,,,,,,
21,97220694,,,,,,,,
22,700928,,,,,,,,
23,39651023,,,,,,,,
24,11018448,,,,,,,,
25,34376143,,,,,,,,
26,895545,,,,,,,,
27,192062000,,,,,,,,
28,34500000,,,,,,,,
29,146510250,,,,,,,,
30,35500000,,,,,,,,
31,1129304,,,,,,,,
32,91527155,,,,,,,,
33,1118182,,,,,,,,
34,1541642,,,,,,,,
35,1390909,,,,,,,,
36,357273,,,,,,,,
37,1445455,,,,,,,,
38,1500000,,,,,,,,
39,8001,,,,,,,,
40,481818,,,,,,,,
