id, soTien 
1,1395000
2,1580000
3,1720000
4,2479500
5,2752002
6,3114000
7,3572000
8,3880000
9,4208500
10,4300005
11,4480000
12,4610000
13,5060000
14,5244000
15,5355000
16,5460000
17,5538500
18,6069001
19,6820001
20,7208000
21,7568000
22,7590000
23,8128000
24,8550000
25,8670000
26,8670001
27,8907000
28,9072500
29,9264001
30,9287000
31,9405000
32,9920001
33,10026000
34,10080001
35,10149000
36,10373999
37,10440003
38,10500001
39,10610001
40,10820000
41,11159992
42,11160002
43,13147000
44,13262005
45,13433004
46,13480000
47,13582500
48,14516000
49,14645000
50,14700000
51,14727000
52,14860001
53,16249001
54,16374001
55,16386000
56,16416000
57,16539500
58,16850000
59,17186500
60,17578000
61,17865001
62,18900004
63,19044000
64,19053001
65,19278001
66,19433001
67,19848000
68,20435000
69,20437005
70,20472500
71,20680000
72,20838001
73,21360499
74,21411000
75,21465001
76,21768000
77,21888000
78,21888000
79,22581501
80,22658000
81,23098000
82,23712005
83,23777500
84,23807000
85,23890000
86,24489005
87,25002691
88,25520000
89,25884000
90,26552499
91,26730000
92,28725001
93,28782001
94,30000999
95,30439500
96,30472000
97,31438500
98,32632499
99,32877000
100,33114000
101,33202000
102,33573000
103,34425000
104,35012999
105,35664500
106,36387000
107,36584000
108,37341001
109,37950121
110,38538500
111,38727000
112,38803000
113,39116000
114,40071001
115,41229001
116,41237500
117,41274000
118,42000000
119,42534000
120,42552000
121,42642008
122,43986000
123,45027000
124,47196001
125,49452001
126,50900000
127,52231000
128,53145000
129,53178500
130,56448000
131,57350000
132,58244500
133,59052000
134,59952000
135,65572000
136,66864001
137,70184500
138,72100001
139,72672500
140,73260000
141,75000000
142,75132004
143,75224001
144,75921000
145,80770000
146,81595000
147,86895000
148,90936000
149,94949000
150,99495000
151,100980000
152,103350000
153,105435000
154,109989000
155,122145001
156,122640000
157,127596000
158,130212001
159,139430000
160,165393000
161,166641300
162,179165445
163,185057000
164,239120000
165,333304930
166,378538400
167,383104804
168,422729602
169,448206552
170,469924000
171,511032003
172,525358864
173,530951097
174,591891504
175,623179555
176,649628604
177,666292502
178,705788150
179,716273403
180,777480322
181,784028806
182,812502001
183,937346000
